name,city,address,region,is_active,latitude,longitude,source_url,banki_office_id
Сбербанк — Дополнительный офис №8615/0423,Новокузнецк,"Кемеровская область - Кузбасс, г Новокузнецк, р-н Орджоникидзевский, пр-кт Шахтеров, д 18",Кемеровская область,true,53.78012,87.28766,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/novokuznetssk/,13290607
Сбербанк — Дополнительный офис №8615/0426,Новокузнецк,"Кемеровская область - Кузбасс, г Новокузнецк, р-н Новоильинский, пр-кт Авиаторов, д 51",Кемеровская область,true,53.900171,87.125123,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/novokuznetssk/,13290608
Сбербанк — Дополнительный офис №8615/0428,Новокузнецк,"Кемеровская область - Кузбасс, г Новокузнецк, р-н Заводской, ул 40 лет ВЛКСМ, д 24А",Кемеровская область,true,53.834,87.180691,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/novokuznetssk/,13290609
Сбербанк — Дополнительный офис №8615/0436,Новокузнецк,"Кемеровская область - Кузбасс, г Новокузнецк, р-н Кузнецкий, ул Обнорского, д 22А",Кемеровская область,true,53.772733,87.19852,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/novokuznetssk/,13290615
Сбербанк — Дополнительный офис №8615/0449,Новокузнецк,"Кемеровская область - Кузбасс, г Новокузнецк, р-н Куйбышевский, пр-кт Октябрьский, д 58",Кемеровская область,true,53.747083,87.152008,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/novokuznetssk/,13290620
Сбербанк — Дополнительный офис №8615/0461,Новокузнецк,"Кемеровская область - Кузбасс, г Новокузнецк, р-н Центральный, ул Тольятти, зд 27",Кемеровская область,true,53.759434,87.147512,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/novokuznetssk/,13290623
Сбербанк — СберПервый,Новокузнецк,"Кемеровская область - Кузбасс, г Новокузнецк, р-н Центральный, ул Тольятти, д 62 к 3",Кемеровская область,true,53.761221,87.146611,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/novokuznetssk/,13326637
Сбербанк — Дополнительный офис №8615/0211,Новороманово,"Кемеровская область - Кузбасс, Юргинский р-н, д Новороманово, ул Рабочая, д 45",Кемеровская область,true,55.659927,85.336966,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/novoromanovo/,13290522
Сбербанк — Дополнительный офис №8615/0156,Новостройка,"Кемеровская область - Кузбасс, Кемеровский р-н, п Новостройка, ул Центральная, д 9",Кемеровская область,true,55.2552,86.228278,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/novostroyka_(kemerovskiy_r-n)/,13290504
Сбербанк — Дополнительный офис №8615/0438,Осинники,"Кемеровская область - Кузбасс, г Осинники, ул Революции, д 23/2",Кемеровская область,true,53.594858,87.33134,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/osinniki/,13290616
Сбербанк — Дополнительный офис №8615/0444,Осинники,"Кемеровская область - Кузбасс, г Осинники, п Тайжина, ул Коммунистическая, д 36",Кемеровская область,true,53.698968,87.435275,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/osinniki/,13290618
Сбербанк — Дополнительный офис №8615/0276,Панфилово,"Кемеровская область - Кузбасс, Ленинск-Кузнецкий р-н, с Панфилово, ул Советская, зд 103А",Кемеровская область,true,54.947067,86.378584,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/panfilovo/,13290547
Сбербанк — Дополнительный офис №8615/0391,Пашково,"Кемеровская область - Кузбасс, Яшкинский р-н, с Пашково, ул Зеленая, зд 3",Кемеровская область,true,56.045554,85.136448,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/passhkovo/,13290594
Сбербанк — Дополнительный офис №8615/0320,Пермяки,"Кемеровская область - Кузбасс, Беловский р-н, с Пермяки, ул Почтовая, д 2",Кемеровская область,true,54.461214,86.896283,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/permyaki/,13290569
Сбербанк — Дополнительный офис №8615/0279,Плотниково,"Кемеровская область - Кузбасс, Промышленновский р-н, п Плотниково, пер Советский, зд 1А",Кемеровская область,true,55.019351,85.939497,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/plotnikovo/,13290550
Сбербанк — Дополнительный офис №8615/0257,Полуторник,"Кемеровская область - Кузбасс, Тисульский р-н, п Полуторник, ул Школьная, д 45Б",Кемеровская область,true,55.321625,88.468757,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/polutornik/,13290541
Сбербанк — Дополнительный офис №8615/0265,Полысаево,"Кемеровская область - Кузбасс, Ленинск-Кузнецкий р-н, г Полысаево, ул Космонавтов, д 73",Кемеровская область,true,54.607399,86.2772,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/polyisaevo/,13290543
Сбербанк — Дополнительный офис №8615/0337,Прокопьевск,"Кемеровская область - Кузбасс, г Прокопьевск, пр-кт Гагарина, зд 28",Кемеровская область,true,53.872406,86.642437,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/prokop~evsk/,13290576
Сбербанк — Дополнительный офис №8615/0340,Прокопьевск,"Кемеровская область - Кузбасс, г Прокопьевск, ул Кучина, зд 1А",Кемеровская область,true,53.910764,86.78954,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/prokop~evsk/,13290577
Сбербанк — Дополнительный офис №8615/0345,Прокопьевск,"Кемеровская область - Кузбасс, г Прокопьевск, ул Союзная, д 51",Кемеровская область,true,53.946812,86.73298,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/prokop~evsk/,13290578
Сбербанк — Дополнительный офис №8615/0347,Прокопьевск,"Кемеровская область - Кузбасс, г Прокопьевск, пр-кт Строителей, д 15А",Кемеровская область,true,53.864734,86.625657,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/prokop~evsk/,13290579
Сбербанк — Дополнительный офис №8615/0349,Прокопьевск,"Кемеровская область - Кузбасс, г Прокопьевск, пр-кт Гагарина, д 3",Кемеровская область,true,53.87177,86.65609,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/prokop~evsk/,13290580
Сбербанк — Дополнительный офис №8615/0355,Прокопьевск,"Кемеровская область - Кузбасс, г Прокопьевск, ул Селиванова, д 2",Кемеровская область,true,53.882032,86.751,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/prokop~evsk/,13290583
Сбербанк — Дополнительный офис №8615/0277,Промышленная,"Кемеровская область - Кузбасс, пгт Промышленная, ул Крупской, д 28",Кемеровская область,true,54.9103,85.635522,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/promyisshlennaya/,13290548
Сбербанк — Дополнительный офис №8615/0208,Проскоково,"Кемеровская область - Кузбасс, Юргинский р-н, с Проскоково, ул Совхозная, д 5",Кемеровская область,true,55.836716,84.721049,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/proskokovo/,13290520
Сбербанк — Дополнительный офис №8615/0327,Салаир,"Кемеровская область - Кузбасс, Гурьевский р-н, г Салаир, ул Попова, д 21А",Кемеровская область,true,54.230504,85.799065,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/salair/,13290573
Сбербанк — Дополнительный офис №8615/0430,Сосновка,"Кемеровская область - Кузбасс, Новокузнецкий р-н, с Сосновка, ул Калинина, зд 61А",Кемеровская область,true,53.66863,87.149932,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/sosnovka_(novokuznetsskiy_r-n)/,13290611
Сбербанк — Дополнительный офис №8615/0221,Спасск,"Кемеровская область - Кузбасс, Таштагольский р-н, пгт Спасск, ул Советская, д 5А",Кемеровская область,true,52.747614,87.752359,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/spassk/,13290524
Сбербанк — Дополнительный офис №8615/0325,Старобачаты,"Кемеровская область - Кузбасс, Беловский р-н, п Старобачаты, ул Новосадовая, зд 13",Кемеровская область,true,54.236868,86.204285,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/starobachatyi/,13290571
Сбербанк — Дополнительный офис №8615/0232,Суслово,"Кемеровская область - Кузбасс, Мариинский р-н, с Суслово, ул Трактовая, зд 6, помещ 1",Кемеровская область,true,56.211149,88.112525,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/suslovo/,13290531
Сбербанк — Дополнительный офис №8615/0379,Тайга,"Кемеровская область - Кузбасс, г Тайга, кв-л А, д 2",Кемеровская область,true,56.065885,85.626762,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/tayga/,13290590
Сбербанк — Дополнительный офис №8615/0220,Таштагол,"Кемеровская область - Кузбасс, г Таштагол, ул Ленина, д 54",Кемеровская область,true,52.77023,87.891491,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/tasshtagol/,13290523
Сбербанк — Дополнительный офис №8615/0224,Таштагол,"Кемеровская область - Кузбасс, г Таштагол, ул Поспелова, д 33",Кемеровская область,true,52.763542,87.848506,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/tasshtagol/,13290526
Сбербанк — Дополнительный офис №8615/0222,Темиртау,"Кемеровская область - Кузбасс, Таштагольский р-н, пгт Темиртау, ул Центральная, д 15",Кемеровская область,true,53.140623,87.460075,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/temirtau/,13290525
Сбербанк — Дополнительный офис №8615/0352,Терентьевское,"Кемеровская область - Кузбасс, Прокопьевский р-н, с Терентьевское, ул Центральная, д 30",Кемеровская область,true,54.093361,86.946441,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/terent~evskoe/,13290581
Сбербанк — Дополнительный офис №8615/0251,Тисуль,"Кемеровская область - Кузбасс, Тисульский р-н, пгт Тисуль, ул Ленина, д 33",Кемеровская область,true,55.767242,88.309305,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/tisul~/,13290539
Сбербанк — Дополнительный офис №8615/0175,Топки,"Кемеровская область - Кузбасс, г Топки, мкр Красная горка, д 28",Кемеровская область,true,55.283338,85.643529,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/topki/,13290510
Сбербанк — Дополнительный офис №8615/0354,Трудармейский,"Кемеровская область - Кузбасс, Прокопьевский р-н, п Трудармейский, ул Советская, д 48",Кемеровская область,true,54.130003,86.409684,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/trudarmeyskiy/,13290582
Сбербанк — Дополнительный офис №8615/0245,Тяжинский,"Кемеровская область - Кузбасс, пгт Тяжинский, ул Садовая, д 4",Кемеровская область,true,56.108828,88.514366,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/tyazhinskiy/,13290536
Сбербанк — Дополнительный офис №8615/0241,Усть-Серта,"Кемеровская область - Кузбасс, Чебулинский р-н, с Усть-Серта, ул Горького, д 33",Кемеровская область,true,56.004831,87.997842,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/ust~-serta/,13290535
Сбербанк — Дополнительный офис №8615/0435,Чистогорский,"Кемеровская область - Кузбасс, Новокузнецкий р-н, п Чистогорский, д 18А",Кемеровская область,true,53.961447,87.375358,https://www.banki.ru/banks/bank/sberbank/branches/kemerovskaya_oblast~/chistogorskiy/,13290614
